Order_ID,Order_Date,Customer_ID,Customer_Name,Product,Category,Quantity,Unit_Price,Cost_Price,Discount,City,State,Region,Salesperson,Payment_Mode
ORD2118,2026-05-21,C0695,Manish Tiwari,Printer,Electronics,3.0,16000.0,12500,15,Mumbai,Maharashtra,West,Priya,Debit Card
ORD1394,2026-05-21,C0246,Rohan Tiwari,Desk,Furniture,7.0,9000.0,6200,20,Bengaluru,Karnataka,South,Sneha,UPI
ORD1034,2026-04-14,C0551,Priya Singh,Keyboard,Electronics,2.0,1800.0,1100,10,Pune,Maharashtra,West,Ravi,Cash
ORD2371,2026-04-21,C0666,Manish Saxena,Headphones,Electronics,5.0,3500.0,2200,20,Kolkata,West Bengal,East,Karan,UPI
ORD4640,2026-05-09,C0092,Anjali Saxena,Printer,Electronics,6.0,16000.0,12500,20,Pune,Maharashtra,West,Amit,UPI
ORD3797,2026-06-18,C0430,Rahul Patel,Headphones,Electronics,6.0,3500.0,2200,0,Kolkata,West Bengal,north,Neha,UPI
ORD5101,2026-05-07,C0917,Shreya Patel,Pen Set,Stationery,4.0,250.0,140,10,Mumbai,Maharashtra,West,Karan,Cash
ORD4041,2026-03-22,C0894,Shreya Tiwari,Headphones,Electronics,5.0,3500.0,2200,10,Kolkata,West Bengal,East,Ravi,Debit Card
ORD5368,2026-01-28,C0242,Amit Saxena,Notebook,Stationery,2.0,120.0,65,20,Bengaluru,Karnataka,South,Amit,Credit Card
ORD1374,2026-01-17,C0544,Meera Sharma,Smartphone,Electronics,6.0,28000.0,22000,0,Gorakhpur,Uttar Pradesh,North,Priya,Net Banking
ORD4567,2026-01-29,C0536,Rohan Saxena,Headphones,Electronics,6.0,3500.0,2200,0,Mumbai,Maharashtra,West,Neha,UPI
ORD3173,2026-06-04,C0851,,Notebook,Stationery,5.0,120.0,65,15,Jaipur,Rajasthan,North,Ravi,UPI
ORD2865,2026-06-10,C0806,Rahul Agarwal,Monitor,Electronics,2.0,18000.0,14000,10,Gorakhpur,Uttar Pradesh,North,Priya,Debit Card
ORD2182,2026-03-17,C0832,Kavita Tiwari,Smartphone,Electronics,6.0,28000.0,22000,15,Pune,Maharashtra,West,Karan,UPI
ORD4226,2026-04-01,C0009,Rohan Yadav,Laptop,Electronics,3.0,55000.0,45000,0,Chennai,Tamil Nadu,South,Neha,UPI
ORD2722,2026-05-03,C0154,Neha Patel,Printer,Electronics,1.0,16000.0,12500,10,Delhi,Delhi,North,Karan,UPI
ORD1487,2026-01-27,C0651,Aditya Agarwal,Keyboard,Electronics,1.0,1800.0,1100,5,Mumbai,Maharashtra, North ,Ravi,Net Banking
ORD4291,2026-01-26,C0125,Rahul Gupta,Notebook,Stationery,7.0,120.0,65,0,Delhi,Delhi,North,Neha,Debit Card
ORD1066,2026-06-13,C0054,Sneha Agarwal,Monitor,Electronics,3.0,18000.0,14000,15,Bhubaneswar,Odisha,East,Ravi,UPI
ORD2210,2026-08-06,C0500,Sneha Agarwal,Keyboard,Electronics,5.0,1800.0,1100,5,Bengaluru,Karnataka,NORTH,Karan,UPI
ORD1169,2026-02-23,C0639,Rahul Joshi,Smartphone,Electronics,4.0,28000.0,22000,10,Lucknow,Uttar Pradesh,North,Sneha,Credit Card
ORD5534,2026-01-01,C0280,Simran Yadav,Keyboard,Electronics,7.0,1800.0,1100,0,Chennai,Tamil Nadu,South,Priya,UPI
ORD5110,2026-03-08,C0624,Rohan Tiwari,Smartphone,Electronics,2.0,28000.0,22000,20,Chennai,Tamil Nadu,South,Priya,Net Banking
ORD3826,2026-06-13,C0332,Nisha Kumar,Laptop,Electronics,5.0,55000.0,45000,15,Gorakhpur,Uttar Pradesh,North,Priya,UPI
ORD1747,2026-03-24,C0198,Amit Joshi,Printer,Electronics,6.0,16000.0,12500,10,Kolkata,West Bengal,East,Karan,Net Banking
ORD4155,2026-05-16,C0007,Karan Yadav,Desk,Furniture,2.0,9000.0,6200,5,Chennai,Tamil Nadu,South,Priya,Cash
ORD1978,2026-03-16,C0213,Rahul Sharma,Notebook,Stationery,5.0,120.0,65,0,Lucknow,Uttar Pradesh,North,Amit,Net Banking
ORD1297,2026-07-02,C0541,Meera Tiwari,Monitor,Electronics,2.0,18000.0,14000,5,Ahmedabad,Gujarat,West,Sneha,Cash
ORD4904,2026-04-12,C0127,Kavita Yadav,Pen Set,Stationery,2.0,250.0,140,0,Pune,Maharashtra,West,Amit,UPI
ORD1732,2026-05-23,C0616,Rahul Joshi,Desk,Furniture,3.0,9000.0,6200,10,Gorakhpur,Uttar Pradesh,North,Neha,Net Banking
ORD5311,2026-01-06,C0981,Vikas Yadav,Monitor,Electronics,4.0,18000.0,14000,0,Pune,Maharashtra,West,Karan,Net Banking
ORD5884,2026-04-29,C0522,Nisha Saxena,Smartphone,Electronics,7.0,28000.0,22000,10,Lucknow,Uttar Pradesh,North,Priya,Credit Card
ORD2700,2026-02-28,C0840,Shreya Chauhan,Printer,Electronics,6.0,16000.0,12500,20,Hyderabad,Telangana,South,Priya,Debit Card
ORD2873,2026-04-05,C0871,Aditya Yadav,Headphones,Electronics,1.0,3500.0,2200,0,Lucknow,Uttar Pradesh,North,Neha,UPI
ORD2102,2026-02-28,C0320,Neha Saxena,Headphones,Electronics,7.0,3500.0,2200,0,Bhubaneswar,Odisha,East,Amit,Net Banking
ORD5747,2026-07-24,C0566,Aditya Sharma,Monitor,Electronics,3.0,18000.0,14000,15,Lucknow,Uttar Pradesh,North,Neha,Net Banking
ORD1080,2026-07-27,C0336,Varun Mishra,Pen Set,Stationery,4.0,250.0,140,20,Kolkata,West Bengal,East,Priya,UPI
ORD2039,2026-06-26,C0613,Vikas Gupta,Printer,Electronics,7.0,16000.0,12500,0,Bengaluru,Karnataka,South,Amit,Net Banking
ORD3827,2026-04-30,C0656,Rohan Singh,Notebook,Stationery,6.0,120.0,65,10,Kolkata,West Bengal,East,Ravi,Cash
ORD4657,2026-03-13,C0891,Shreya Kumar,Headphones,Electronics,7.0,3500.0,2200,20,Jaipur,Rajasthan,North,Neha,Cash
ORD4261,2026-03-17,C0843,Manish Joshi,Notebook,Stationery,3.0,120.0,65,15,Lucknow,Uttar Pradesh,North,Neha,UPI
ORD2198,2026-07-21,C0877,Sneha Patel,Laptop,Electronics,3.0,55000.0,45000,5,Mumbai,Maharashtra,West,Priya,Cash
ORD2201,2026-07-22,C0321,Manish Tiwari,Printer,Electronics,2.0,16000.0,12500,20,Jaipur,Rajasthan,North,Priya,UPI
ORD1107,2026-06-23,C0232,Neha Patel,Keyboard,Electronics,7.0,1800.0,1100,5,Pune,Maharashtra,West,Amit,Credit Card
ORD4739,2026-01-10,C0530,Aditya Agarwal,Pen Set,Stationery,2.0,250.0,140,10,Pune,Maharashtra,West,Karan,UPI
ORD2833,2026-04-12,C0087,Pooja Saxena,Office Chair,Furniture,2.0,12000.0,8500,15,Hyderabad,Telangana,South,Sneha,Cash
ORD2095,2026-02-21,C0852,Varun Gupta,Notebook,Stationery,4.0,120.0,65,15,Hyderabad,Telangana,South,Amit,UPI
ORD5477,2026-02-02,C0263,Rahul Gupta,Printer,Electronics,5.0,16000.0,12500,10,Bengaluru,Karnataka,South,Sneha,Net Banking
ORD4236,2026-07-30,C0321,Manish Tiwari,Printer,Electronics,7.0,16000.0,12500,0,Delhi,Delhi,North,Ravi,Credit Card
ORD2273,2026-03-04,C0339,Shreya Chauhan,Headphones,Electronics,4.0,3500.0,2200,10,Mumbai,Maharashtra,West,Amit,Cash
ORD2021,2026-04-17,C0828,Anjali Verma,Monitor,Electronics,2.0,18000.0,14000,15,Chennai,Tamil Nadu,South,Ravi,Cash
ORD2331,2026-03-22,C0083,Priya Saxena,Desk,Furniture,4.0,9000.0,6200,20,Hyderabad,Telangana,South,Neha,Net Banking
ORD3485,2026-03-16,C0974,Amit Gupta,Office Chair,Furniture,7.0,12000.0,8500,20,Lucknow,Uttar Pradesh,North,Karan,Net Banking
ORD5656,2026-03-29,C0260,Sneha Verma,Desk,Furniture,1.0,9000.0,6200,0,Bhubaneswar,Odisha,East,Amit,Debit Card
ORD1752,2026-05-08,C0113,Amit Verma,Printer,Electronics,5.0,16000.0,12500,10,Hyderabad,Telangana,South,Priya,UPI
ORD4659,2026-03-29,C0114,Ravi Verma,Pen Set,Stationery,6.0,250.0,140,10,Hyderabad,Telangana,South,Amit,Credit Card
ORD3342,2026-06-30,C0374,Varun Gupta,Keyboard,Electronics,3.0,1800.0,1100,20,Chennai,Tamil Nadu,South,Karan,Net Banking
ORD5636,2026-12-02,C0056,Rohan Agarwal,Desk,Furniture,7.0,9000.0,6200,0,Chennai,Tamil Nadu,South,Ravi,Net Banking
ORD2336,2026-05-29,C0056,Rohan Agarwal,Headphones,Electronics,4.0,3500.0,2200,5,Kolkata,West Bengal,East,Sneha,Credit Card
ORD2422,2026-02-05,C0170,Rohan Yadav,Keyboard,Electronics,7.0,1800.0,1100,10,Jaipur,Rajasthan,North,Ravi,Net Banking
ORD2428,2026-01-10,C0824,Pooja Agarwal,Office Chair,Furniture,7.0,12000.0,8500,15,Pune,Maharashtra,West,Ravi,Credit Card
ORD4318,2026-07-12,C0769,Kavita Chauhan,Office Chair,Furniture,6.0,12000.0,8500,10,Bhubaneswar,Odisha,East,Karan,UPI
ORD2042,2026-08-23,C0212,Karan Agarwal,Desk,Furniture,7.0,9000.0,6200,5,Bhubaneswar,Odisha,East,Priya,Net Banking
ORD2504,2026-01-06,C0212,Karan Agarwal,Notebook,Stationery,3.0,120.0,65,20,Bengaluru,Karnataka,South,Amit,Credit Card
ORD1857,2026-06-04,C0128,Aditya Verma,Notebook,Stationery,7.0,120.0,65,5,,Uttar Pradesh,North,Amit,Credit Card
ORD4923,2026-01-27,C0928,Meera Tiwari,Monitor,Electronics,6.0,18000.0,14000,0,Bengaluru,Karnataka,South,Karan,Net Banking
ORD1486,2026-06-30,C0740,Shreya Singh,Printer,Electronics,3.0,16000.0,12500,15,Bhubaneswar,Odisha,East,Priya,UPI
ORD4939,2026-05-07,C0938,Ravi Chauhan,Headphones,Electronics,7.0,3500.0,2200,0,Bengaluru,Karnataka,South,Neha,Credit Card
ORD2175,2026-03-08,C0630,Aditya Agarwal,Keyboard,Electronics,4.0,1800.0,1100,15,Hyderabad,Telangana,South,Priya,UPI
ORD2363,2026-04-13,C0236,Simran Gupta,Pen Set,Stationery,4.0,250.0,140,5,Lucknow,Uttar Pradesh,North,Amit,Cash
ORD5685,2026-05-06,C0498,Karan Mehta,Printer,Electronics,5.0,16000.0,12500,5,Gorakhpur,Uttar Pradesh,North,Karan,Cash
ORD4887,2026-01-16,C0026,Kavita Verma,Laptop,Electronics,5.0,55000.0,45000,5,Bengaluru,Karnataka,South,Priya,Debit Card
ORD3576,2026-01-11,C0716,Ravi Singh,Keyboard,Electronics,5.0,1800.0,1100,5,Lucknow,Uttar Pradesh,North,Ravi,Net Banking
ORD5273,2026-07-21,C0270,Pooja Verma,Smartphone,Electronics,3.0,28000.0,22000,10,Ahmedabad,Gujarat,West,Amit,Credit Card
ORD1030,2026-06-22,C0114,Ravi Verma,Monitor,Electronics,6.0,18000.0,14000,5,Hyderabad,Telangana,South,Priya,Debit Card
ORD3699,2026-03-15,C0996,Simran Chauhan,Office Chair,Furniture,3.0,12000.0,8500,20,Lucknow,Uttar Pradesh,North,Amit,Cash
ORD5233,2026-05-22,C0178,Aditya Verma,Headphones,Electronics,2.0,3500.0,2200,20,Bengaluru,Karnataka,South,Neha,Credit Card
ORD5006,2026-08-23,C0666,Manish Saxena,Smartphone,Electronics,3.0,28000.0,22000,10,Bhubaneswar,Odisha,East,Neha,Cash
ORD2306,2026-01-22,C0005,Priya Mishra,Office Chair,Furniture,3.0,12000.0,8500,20,Bengaluru,Karnataka,South,Karan,UPI
ORD1531,2026-05-26,C0612,Simran Chauhan,Pen Set,Stationery,5.0,250.0,140,20,Gorakhpur,Uttar Pradesh,North,Priya,Debit Card
ORD2685,2026-04-25,C0844,Rohan Kumar,Office Chair,Furniture,6.0,12000.0,8500,0,Kolkata,West Bengal,East,Karan,Debit Card
ORD1241,2026-03-19,C0801,Priya Tiwari,Desk,Furniture,5.0,9000.0,6200,0,Chennai,Tamil Nadu,South,Sneha,UPI
ORD5285,2026-02-17,C0410,Sneha Joshi,Office Chair,Furniture,3.0,12000.0,8500,15,Delhi,Delhi,North,Amit,Cash
ORD3673,2026-03-26,C0664,Priya Sharma,Printer,Electronics,7.0,16000.0,12500,15,Ahmedabad,Gujarat,West,Sneha,UPI
ORD3089,2026-01-15,C0169,Kavita Agarwal,Laptop,Electronics,2.0,55000.0,45000,10,Mumbai,Maharashtra,West,Sneha,UPI
ORD1158,2026-08-22,C0753,Neha Sharma,Pen Set,Stationery,4.0,250.0,140,10,Pune,Maharashtra,West,Neha,Credit Card
ORD1692,2026-06-13,C0306,Amit Yadav,Laptop,Electronics,1.0,55000.0,45000,0,Jaipur,Rajasthan,North,Sneha,UPI
ORD1298,2026-03-10,C0385,Meera Joshi,Desk,Furniture,,9000.0,6200,20,Bengaluru,Karnataka,South,Sneha,Net Banking
ORD3441,2026-01-28,C0306,Amit Yadav,Headphones,Electronics,4.0,3500.0,2200,10,Lucknow,Uttar Pradesh,North,Priya,Net Banking
ORD3991,2026-01-06,C0148,Pooja Singh,Keyboard,Electronics,3.0,1800.0,1100,15,Mumbai,Maharashtra,West,Karan,Debit Card
ORD4480,2026-05-19,C0881,Priya Chauhan,Headphones,Electronics,2.0,3500.0,2200,5,Pune,Maharashtra,West,Amit,Debit Card
ORD2953,2026-03-11,C0553,Simran Verma,Printer,Electronics,5.0,16000.0,12500,20,Bhubaneswar,Odisha,East,Sneha,Cash
ORD4188,2026-05-26,C0358,Arjun Singh,Notebook,Stationery,7.0,120.0,65,10,Ahmedabad,Gujarat,West,Amit,Credit Card
ORD5893,2026-08-23,C0305,Vikas Singh,Headphones,Electronics,5.0,3500.0,2200,5,Bengaluru,Karnataka,South,Karan,UPI
ORD1024,2026-06-04,C0420,Rohan Yadav,Pen Set,Stationery,1.0,250.0,140,20,Bengaluru,Karnataka,South,Amit,UPI
ORD5916,2026-07-18,C0306,Amit Yadav,Desk,Furniture,2.0,9000.0,6200,10,Pune,Maharashtra,West,Amit,UPI
ORD4351,2026-03-15,C0612,Simran Chauhan,Keyboard,Electronics,7.0,1800.0,1100,20,Gorakhpur,Uttar Pradesh,North,Ravi,Debit Card
ORD4759,2026-04-14,C0009,Rohan Yadav,Pen Set,Stationery,1.0,250.0,140,15,Gorakhpur,Uttar Pradesh,North,Neha,
ORD3510,2026-05-19,C0405,Sneha Mehta,Notebook,Stationery,5.0,120.0,65,10,Kolkata,West Bengal,East,Amit,Credit Card
ORD5280,2026-01-14,C0863,Manish Joshi,Notebook,Stationery,7.0,120.0,65,15,Chennai,Tamil Nadu,South,Neha,Cash
ORD4663,2026-08-25,C0110,Arjun Yadav,Keyboard,Electronics,3.0,1800.0,1100,15,Delhi,Delhi,North,Sneha,UPI
ORD3035,2026-02-06,C0072,Aditya Sharma,Smartphone,Electronics,3.0,28000.0,22000,10,Bengaluru,Karnataka,South,Ravi,Debit Card
ORD5205,2026-01-21,C0695,Priya Kumar,Office Chair,Furniture,5.0,12000.0,8500,20,Pune,Maharashtra,West,Priya,Cash
ORD2096,2026-04-04,C0089,Rohan Agarwal,Monitor,Electronics,3.0,18000.0,14000,20,Delhi,Delhi,North,Karan,Debit Card
ORD3868,2026-06-23,C0128,Aditya Verma,Headphones,Electronics,1.0,3500.0,2200,20,Jaipur,Rajasthan,North,Amit,Debit Card
ORD1299,2026-08-28,C0616,Rahul Joshi,Printer,Electronics,1.0,16000.0,12500,15,Bengaluru,Karnataka,South,Amit,Credit Card
ORD1240,2026-04-12,C0414,Nisha Saxena,Pen Set,Stationery,6.0,250.0,140,0,Delhi,Delhi,North,Neha,Cash
ORD4018,2026-03-16,C0522,Nisha Saxena,Printer,Electronics,1.0,16000.0,12500,10,Mumbai,Maharashtra,West,Sneha,Debit Card
ORD4983,2026-04-22,C0818,Manish Yadav,Headphones,Electronics,6.0,3500.0,2200,5,Hyderabad,Telangana,South,Sneha,Cash
ORD5160,2026-03-18,C0695,Manish Tiwari,Laptop,Electronics,6.0,55000.0,45000,15,Mumbai,Maharashtra,West,Sneha,Debit Card
ORD1180,2026-07-11,C0098,Manish Gupta,Monitor,Electronics,6.0,18000.0,14000,10,Mumbai,Maharashtra,West,Priya,Debit Card
ORD4998,2026-03-11,C0252,Arjun Joshi,Pen Set,Stationery,7.0,250.0,140,10,Chennai,Tamil Nadu,South,Amit,Net Banking
ORD3405,2026-05-12,C0278,Nisha Sharma,Keyboard,Electronics,4.0,1800.0,1100,5,Bhubaneswar,Odisha,East,Priya,Cash
ORD3861,2026-02-01,C0040,Karan Yadav,Smartphone,Electronics,2.0,28000.0,22000,5,Kolkata,West Bengal,East,Sneha,Net Banking
ORD2719,2026-04-03,C0881,Priya Chauhan,Headphones,Electronics,2.0,3500.0,2200,0,Bhubaneswar,Odisha,East,Priya,UPI
ORD5281,2026-05-30,C0013,Amit Mehta,Laptop,Electronics,3.0,55000.0,45000,10,Delhi,Delhi,North,Neha,Credit Card
ORD2771,2026-06-12,C0355,Nisha Chauhan,Monitor,Electronics,1.0,18000.0,14000,15,Bengaluru,Karnataka,South,Ravi,UPI
ORD3105,2026-07-02,C0247,Rahul Kumar,Office Chair,Furniture,4.0,12000.0,8500,5,Hyderabad,Telangana,South,Ravi,Debit Card
ORD5663,2026-07-02,C0782,Amit Tiwari,Monitor,Electronics,7.0,18000.0,14000,5,Gorakhpur,Uttar Pradesh,North,Karan,Cash
ORD5925,2026-06-13,C0349,Rohan Kumar,Headphones,Electronics,4.0,3500.0,2200,5,Bhubaneswar,Odisha,East,Sneha,
ORD1712,2026-06-28,C0918,Pooja Tiwari,Pen Set,Stationery,1.0,250.0,140,20,Mumbai,Maharashtra,West,Priya,Debit Card
ORD3134,2026-01-15,C0096,Rahul Yadav,Smartphone,Electronics,3.0,28000.0,22000,10,Jaipur,Rajasthan,North,Sneha,UPI
ORD3958,2026-06-18,C0225,Nisha Mishra,Notebook,Stationery,5.0,120.0,65,15,Chennai,Tamil Nadu,South,Karan,Cash
ORD1334,2026-03-22,C0075,Shreya Yadav,Keyboard,Electronics,5.0,1800.0,1100,0,Delhi,Delhi,North,Priya,Credit Card
ORD1897,2026-08-14,C0983,Vikas Mehta,Office Chair,Furniture,1.0,12000.0,8500,15,Ahmedabad,Gujarat,West,Amit,Debit Card
ORD5154,2026-08-26,C0385,Meera Joshi,Keyboard,Electronics,7.0,1800.0,1100,0,Mumbai,Maharashtra,West,Neha,Net Banking
ORD5284,2026-05-14,C0843,Manish Joshi,Monitor,Electronics,3.0,18000.0,14000,10,Bengaluru,Karnataka,South,Priya,UPI
ORD4816,2026-08-06,C0164,Anjali Singh,Headphones,Electronics,4.0,3500.0,2200,20,Bhubaneswar,Odisha,East,Amit,Debit Card
ORD3396,2026-08-13,C0016,Manish Singh,Printer,Electronics,7.0,16000.0,12500,15,Mumbai,Maharashtra,West,Priya,Debit Card
ORD4993,2026-03-05,C0999,Shreya Yadav,Keyboard,Electronics,6.0,1800.0,1100,5,Chennai,Tamil Nadu,South,Priya,UPI
ORD4596,2026-06-14,C0742,Aditya Chauhan,Notebook,Stationery,5.0,120.0,65,10,Bhubaneswar,Odisha,East,Sneha,UPI
ORD4039,2026-01-06,C0506,Sneha Tiwari,Headphones,Electronics,3.0,3500.0,2200,10,Jaipur,Rajasthan,North,Karan,Credit Card
ORD5327,2026-08-20,C0460,Arjun Saxena,Headphones,Electronics,6.0,3500.0,2200,15,Pune,Maharashtra,West,Neha,Debit Card
ORD1706,2026-06-30,C0392,Manish Yadav,Laptop ,Stationery,6.0,120.0,65,15,Lucknow,Uttar Pradesh,North,Neha,Debit Card
ORD2375,2026-03-28,C0722,Arjun Verma,Monitor,Electronics,2.0,18000.0,14000,5,Bhubaneswar,Odisha,East,Sneha,Credit Card
ORD3310,2026-01-15,C0794,Ravi Mishra,Desk,Furniture,7.0,9000.0,6200,5,Bengaluru,Karnataka,South,Priya,Credit Card
ORD4964,2026-08-26,C0011,Sneha Kumar,Pen Set,Stationery,7.0,250.0,140,0,Bengaluru,Karnataka,South,Karan,Net Banking
ORD5419,2026-05-16,C0534,Simran Chauhan,Notebook,Stationery,5.0,120.0,65,20,Chennai,Tamil Nadu,South,Amit,Credit Card
ORD3882,2026-07-17,C0287,Karan Patel,Notebook,Stationery,5.0,120.0,65,5,Jaipur,Rajasthan,North,Priya,Debit Card
ORD2534,2026-02-16,C0389,Shreya Patel,Desk,Furniture,3.0,9000.0,6200,0,Ahmedabad,Gujarat,West,Neha,UPI
ORD4246,2026-05-03,C0447,Shreya Chauhan,Smartphone,Electronics,5.0,28000.0,22000,5,Jaipur,Rajasthan,North,Sneha,Net Banking
ORD3650,2026-07-31,C0174,Ravi Mehta,Keyboard,Electronics,5.0,1800.0,1100,20,Delhi,Delhi,North,Priya,Debit Card
ORD4066,2026-07-28,C0522,Nisha Saxena,Keyboard,Electronics,4.0,1800.0,1100,10,Ahmedabad,Gujarat,West,Amit,Net Banking
ORD1830,2026-03-14,C0620,Anjali Verma,Office Chair,Furniture,7.0,12000.0,8500,5,Bhubaneswar,Odisha,East,Neha,Cash
ORD4575,2026-04-26,C0715,Manish Patel,Notebook,Stationery,2.0,120.0,65,0,Mumbai,Maharashtra,West,Priya,Net Banking
ORD2452,2026-08-01,C0812,Pooja Tiwari,Notebook,Stationery,4.0,120.0,65,15,Bhubaneswar,Odisha,East,Priya,Debit Card
ORD4804,2026-02-27,C0286,Anjali Mehta,Smartphone,Electronics,4.0,28000.0,22000,15,Mumbai,Maharashtra,West,Ravi,Net Banking
ORD3237,2026-08-04,C0639,Rahul Joshi,Keyboard,Electronics,2.0,1800.0,1100,10,Hyderabad,Telangana,South,Ravi,UPI
ORD5898,2026-08-12,C0139,Manish Yadav,Office Chair,Furniture,6.0,12000.0,8500,10,Bhubaneswar,Odisha,East,Sneha,Credit Card
ORD1280,2026-02-23,C0121,Rohan Saxena,Smartphone,Electronics,2.0,28000.0,22000,10,Kolkata,West Bengal,East,Ravi,Cash
ORD4500,2026-02-15,C0483,Nisha Patel,Desk,Furniture,,9000.0,6200,10,Hyderabad,Telangana,South,Ravi,Net Banking
ORD2618,2026-02-21,C0165,Rahul Mishra,Printer,Electronics,7.0,16000.0,12500,0,Bhubaneswar,Odisha,East,Priya,Debit Card
ORD2860,2026-07-26,C0011,Sneha Kumar,Headphones,Electronics,2.0,3500.0,2200,20,Chennai,Tamil Nadu,South,Neha,Cash
ORD5891,2026-04-28,C0728,Nisha Kumar,Headphones,Electronics,7.0,3500.0,2200,20,Delhi,Delhi,North,Sneha,UPI
ORD3255,2026-06-05,C0936,Priya Verma,Office Chair,Furniture,1.0,12000.0,8500,0,Ahmedabad,Gujarat,West,Ravi,Credit Card
ORD1894,2026-05-23,C0062,Simran Joshi,Laptop,Electronics,1.0,55000.0,45000,15,Lucknow,Uttar Pradesh,North,Ravi,UPI
ORD3639,2026-01-06,C0431,Rohan Gupta,Office Chair,Furniture,7.0,12000.0,8500,20,Ahmedabad,Gujarat,West,Sneha,Debit Card
ORD1656,2026-04-12,C0531,Amit Yadav,Keyboard,Electronics,3.0,1800.0,1100,15,Ahmedabad,Gujarat,West,Sneha,Credit Card
ORD5688,2026-07-17,C0800,Amit Saxena,Office Chair,Furniture,2.0,12000.0,8500,10,Pune,Maharashtra,West,Ravi,UPI
ORD5615,2026-07-21,C0903,Kavita Singh,Monitor,Electronics,2.0,18000.0,14000,5,Delhi,Delhi,North,Amit,UPI
ORD1229,2026-03-29,C0703,Arjun Tiwari,Laptop,Electronics,2.0,55000.0,45000,20,Gorakhpur,Uttar Pradesh,North,Amit,Net Banking
ORD5619,2026-05-26,C0699,Varun Sharma,Printer,Electronics,5.0,16000.0,12500,5,Pune,Maharashtra,West,Amit,UPI
ORD2130,2026-08-18,C0439,Nisha Chauhan,Smartphone,electronics,1.0,28000.0,22000,15,Gorakhpur,Uttar Pradesh,North,Priya,UPI
ORD3074,2026-02-09,C0526,Pooja Kumar,Smartphone,Electronics,2.0,28000.0,22000,15,Lucknow,Uttar Pradesh,North,Sneha,Net Banking
ORD5348,2026-08-17,C0756,Priya Mishra,Laptop,Electronics,3.0,55000.0,45000,5,Chennai,Tamil Nadu,South,Amit,UPI
ORD1492,2026-05-14,C0949,Varun Tiwari,Desk,Furniture,7.0,9000.0,6200,20,Mumbai,Maharashtra,West,Karan,Debit Card
ORD2733,2026-01-02,C0477,Amit Chauhan,Headphones,Electronics,2.0,3500.0,2200,0,Delhi,Delhi,North,Amit,Cash
ORD2216,2026-03-11,C0332,Nisha Kumar,Notebook,Stationery,3.0,120.0,65,5,Kolkata,West Bengal,East,Amit,Cash
ORD3835,2026-07-19,C0038,Amit Patel,Smartphone,Electronics,5.0,28000.0,22000,0,Bengaluru,Karnataka,South,Amit,Net Banking
ORD2269,2026-03-04,C0380,Ravi Tiwari,Desk,Furniture,1.0,,6200,20,Jaipur,Rajasthan,North,Ravi,UPI
ORD5792,2026-02-12,C0141,Anjali Mishra,Desk,Furniture,7.0,9000.0,6200,10,Bhubaneswar,Odisha,East,Ravi,UPI
ORD2535,2026-02-08,C0859,Aditya Yadav,Notebook,Stationery,5.0,120.0,65,15,Bengaluru,Karnataka,South,Neha,Net Banking
ORD5689,2026-06-05,C0673,Rohan Verma,Printer,Electronics,2.0,16000.0,12500,10,Hyderabad,Telangana,South,Sneha,UPI
ORD5985,2026-03-18,C0984,Anjali Agarwal,Office Chair,Furniture,3.0,12000.0,8500,0,Hyderabad,Telangana,South,Neha,Credit Card
